material_id,formula,band_gap,hull_eV,formation_eV,density,point_group,spacegroup,crystal_system,piezoelectric_modulus,refractive_index,e_total,e_electronic,photonic_score,photonic_notes
mp-20496,Ga2PbO4,3.4457000000000004,0.0,-2.0700189085714276,6.412771573477277,mm2,Ama2,Orthorhombic,1.0730014491602091,2.0249239804660983,21.639104953333334,4.100317126666668,11,✓ Noncentro (mm2) — χ⁽²⁾ allowed | ✓ Gap 3.45 eV — transparent at 775nm | ✓ n=2.02 — ideal waveguide confinement | ✓ Piezo=1.07 C/m² — strong χ⁽²⁾ proxy
mp-661,AlN,4.0536,0.0,-1.6796721718749996,3.2008897176145172,6mm,P6_3mc,Hexagonal,1.675678528149127,2.131321910614787,8.731928620001746,4.542533086666666,11,✓ Noncentro (6mm) — χ⁽²⁾ allowed | ✓ Gap 4.05 eV — transparent at 775nm | ✓ n=2.13 — ideal waveguide confinement | ✓ Piezo=1.68 C/m² — strong χ⁽²⁾ proxy
mp-555903,Al(IO3)3,3.3465999999999996,0.0,-1.3017925411538454,5.036955884461228,6,P6_3,Hexagonal,1.573204377158176,2.00891931561889,8.33793544,4.035756816666668,11,✓ Noncentro (6) — χ⁽²⁾ allowed | ✓ Gap 3.35 eV — transparent at 775nm | ✓ n=2.01 — ideal waveguide confinement | ✓ Piezo=1.57 C/m² — strong χ⁽²⁾ proxy
mp-9309,CsTa(BO3)2,3.4038,0.0,-3.013451491032184,4.755152673753062,mm2,Pmn2_1,Orthorhombic,1.029423867364653,1.842975603926071,14.174491289999997,3.3965590766666662,11,✓ Noncentro (mm2) — χ⁽²⁾ allowed | ✓ Gap 3.40 eV — transparent at 775nm | ✓ n=1.84 — ideal waveguide confinement | ✓ Piezo=1.03 C/m² — strong χ⁽²⁾ proxy
mp-9747,B4PbO7,4.209300000000001,0.0,-2.6473397413889153,5.846993607062421,mm2,Pmn2_1,Orthorhombic,1.533211452507448,1.9688115095153218,17.249810543333332,3.87621876,11,✓ Noncentro (mm2) — χ⁽²⁾ allowed | ✓ Gap 4.21 eV — transparent at 775nm | ✓ n=1.97 — ideal waveguide confinement | ✓ Piezo=1.53 C/m² — strong χ⁽²⁾ proxy
mp-1245510,Mg3MoN4,3.4901,0.0,-0.9721851925000005,3.6472239648162534,mm2,Pmn2_1,Orthorhombic,2.352154731198609,2.296470774906574,10.268663116666666,5.27377802,11,✓ Noncentro (mm2) — χ⁽²⁾ allowed | ✓ Gap 3.49 eV — transparent at 775nm | ✓ n=2.30 — ideal waveguide confinement | ✓ Piezo=2.35 C/m² — strong χ⁽²⁾ proxy
mp-13108,SrHfO3,3.7304999999999997,0.0328964169999999,-3.7794685069999994,7.345445368102092,4mm,P4mm,Tetragonal,8.735864163338391,2.085764604008164,246.35700598000003,4.3504139833333335,10,✓ Noncentro (4mm) — χ⁽²⁾ allowed | ✓ Gap 3.73 eV — transparent at 775nm | ✓ n=2.09 — ideal waveguide confinement | ✓ Piezo=8.74 C/m² — strong χ⁽²⁾ proxy
mp-1189451,BeCN2,5.50918679560471,0.0,-0.5648687118750004,3.3041687081982163,mm2,Pna2_1,Orthorhombic,0.49309849655013105,2.17928388085016,7.093535276666667,4.749278233333333,10,✓ Noncentro (mm2) — χ⁽²⁾ allowed | ✓ Gap 5.51 eV — transparent at 775nm | ✓ n=2.18 — ideal waveguide confinement | △ Piezo=0.49 C/m² — moderate
mp-9066,NaLi2AsO4,3.8891,0.0,-2.1993633044432475,3.0108203246588214,mm2,Pmn2_1,Orthorhombic,1.1166258161980671,1.6438274960185653,5.949246636666667,2.7021688366666665,10,✓ Noncentro (mm2) — χ⁽²⁾ allowed | ✓ Gap 3.89 eV — transparent at 775nm | △ n=1.64 — weak confinement | ✓ Piezo=1.12 C/m² — strong χ⁽²⁾ proxy
mp-35795,BiPbF5,4.288399999999999,0.05408122857142761,-2.6811187435714285,7.61125996572744,1,P1,Triclinic,3.4888030166697,1.8367576368880754,27.778948646666663,3.3736786166666666,10,✓ Noncentro (1) — χ⁽²⁾ allowed | ✓ Gap 4.29 eV — transparent at 775nm | ✓ n=1.84 — ideal waveguide confinement | ✓ Piezo=3.49 C/m² — strong χ⁽²⁾ proxy
mp-3998,LaTaO4,3.3887,0.005694672916666477,-3.7071388720555554,7.751849673364303,mm2,Cmc2_1,Orthorhombic,2.33363100780736,2.278493513998522,50.70538895999999,5.191532693333333,10,✓ Noncentro (mm2) — χ⁽²⁾ allowed | ✓ Gap 3.39 eV — transparent at 775nm | ✓ n=2.28 — ideal waveguide confinement | ✓ Piezo=2.33 C/m² — strong χ⁽²⁾ proxy
mp-542464,Ga2H6(SeO4)3,3.9646999999999997,0.005507004130430815,-1.4577289645448361,3.725518812924193,3m,R3c,Trigonal,1.035399453754909,1.8164382336503124,7.846520660009731,3.299447856666667,10,✓ Noncentro (3m) — χ⁽²⁾ allowed | ✓ Gap 3.96 eV — transparent at 775nm | ✓ n=1.82 — ideal waveguide confinement | ✓ Piezo=1.04 C/m² — strong χ⁽²⁾ proxy
mp-15701,MgSiN2,3.4715,0.029344369374999957,-1.3166643900000006,3.1790317199306446,-42m,I-42d,Tetragonal,1.14581,2.11501773830229,9.02309213,4.4733000333333335,10,✓ Noncentro (-42m) — χ⁽²⁾ allowed | ✓ Gap 3.47 eV — transparent at 775nm | ✓ n=2.12 — ideal waveguide confinement | ✓ Piezo=1.15 C/m² — strong χ⁽²⁾ proxy
mp-543040,Ga2Te3(HO2)6,3.7626999999999997,0.030518476521737448,-1.5487981514130438,4.498488353486123,3m,R3c,Trigonal,1.244352891995312,1.93168090101169,9.055194693334204,3.7313911033333347,10,✓ Noncentro (3m) — χ⁽²⁾ allowed | ✓ Gap 3.76 eV — transparent at 775nm | ✓ n=1.93 — ideal waveguide confinement | ✓ Piezo=1.24 C/m² — strong χ⁽²⁾ proxy
mp-556605,ZrO2,3.7025,0.016660947500000134,-3.796956807499999,5.984314869866799,mm2,Pca2_1,Orthorhombic,2.717734101066548,2.36528673596529,27.806075926666665,5.594581343333334,10,✓ Noncentro (mm2) — χ⁽²⁾ allowed | ✓ Gap 3.70 eV — transparent at 775nm | ✓ n=2.37 — ideal waveguide confinement | ✓ Piezo=2.72 C/m² — strong χ⁽²⁾ proxy
mp-570598,SrSi7N10,3.882065668655171,0.015499520416666357,-1.3464539554166666,3.3198135176700267,m,Pc,Monoclinic,2.154867312626562,2.0511907062321955,25.67633592333333,4.207383313333333,10,✓ Noncentro (m) — χ⁽²⁾ allowed | ✓ Gap 3.88 eV — transparent at 775nm | ✓ n=2.05 — ideal waveguide confinement | ✓ Piezo=2.15 C/m² — strong χ⁽²⁾ proxy
mp-7610,Li2CaSiO4,5.189699999999999,0.0,-3.0303690320833327,2.862344000463935,-42m,I-42m,Tetragonal,1.58752,1.745535832726826,10.334637200000001,3.046895343333334,10,✓ Noncentro (-42m) — χ⁽²⁾ allowed | ✓ Gap 5.19 eV — transparent at 775nm | △ n=1.75 — weak confinement | ✓ Piezo=1.59 C/m² — strong χ⁽²⁾ proxy
mp-23349,Bi(BO2)3,3.8413000000000004,0.018676021999998405,-2.568614331750001,4.963341886072401,2,C2,Monoclinic,1.162282513871693,1.852602088954884,8.651605626666665,3.4321344999999996,10,✓ Noncentro (2) — χ⁽²⁾ allowed | ✓ Gap 3.84 eV — transparent at 775nm | ✓ n=1.85 — ideal waveguide confinement | ✓ Piezo=1.16 C/m² — strong χ⁽²⁾ proxy
mp-3881,BaZnF4,4.5431,0.0,-3.391740702500005,5.175770730999138,mm2,Cmc2_1,Orthorhombic,1.5171700000000001,1.5812619496254674,25.15932208,2.500389353333334,10,✓ Noncentro (mm2) — χ⁽²⁾ allowed | ✓ Gap 4.54 eV — transparent at 775nm | △ n=1.58 — weak confinement | ✓ Piezo=1.52 C/m² — strong χ⁽²⁾ proxy
mp-35555,LaOF,4.747800000000001,0.06119905999999986,-4.195267745000001,6.021367730523262,-43m,F-43m,Cubic,1.303650000000002,1.939753077069349,18.02322731333335,3.762642000000008,10,✓ Noncentro (-43m) — χ⁽²⁾ allowed | ✓ Gap 4.75 eV — transparent at 775nm | ✓ n=1.94 — ideal waveguide confinement | ✓ Piezo=1.30 C/m² — strong χ⁽²⁾ proxy
mp-541462,SrTa4O11,3.5232,0.0,-3.431262843708332,7.781368665691054,622,P6_322,Hexagonal,0.336895,2.29434230590526,45.880195446710275,5.264006616666666,10,✓ Noncentro (622) — χ⁽²⁾ allowed | ✓ Gap 3.52 eV — transparent at 775nm | ✓ n=2.29 — ideal waveguide confinement | △ Piezo=0.34 C/m² — moderate
mp-556966,KSrVO4,3.8457,0.0,-2.7867498592500004,3.5468000253164345,222,P2_12_12_1,Orthorhombic,0.105409999999999,1.8174841154739152,10.816087083333331,3.30324851,10,✓ Noncentro (222) — χ⁽²⁾ allowed | ✓ Gap 3.85 eV — transparent at 775nm | ✓ n=1.82 — ideal waveguide confinement | △ Piezo=0.11 C/m² — moderate
mp-753378,TaGaO4,3.2819,0.04057792208333488,-2.8569991833055552,7.905905200830079,mm2,Pnc2,Orthorhombic,1.73621,2.2720269489305505,25.675411370000003,5.162106456666667,10,✓ Noncentro (mm2) — χ⁽²⁾ allowed | ✓ Gap 3.28 eV — transparent at 775nm | ✓ n=2.27 — ideal waveguide confinement | ✓ Piezo=1.74 C/m² — strong χ⁽²⁾ proxy
mp-1029584,KSi5N7,3.4174999999999995,0.0,-1.2031350066153845,2.9936993630724644,mm2,Pna2_1,Orthorhombic,0.37835054579054,2.0251072555957785,8.634881676666664,4.101059396666666,10,✓ Noncentro (mm2) — χ⁽²⁾ allowed | ✓ Gap 3.42 eV — transparent at 775nm | ✓ n=2.03 — ideal waveguide confinement | △ Piezo=0.38 C/m² — moderate
mp-1029418,KSi2N3,3.6731999999999987,0.0,-1.0853544762083338,3.392509252001216,mm2,Cmc2_1,Orthorhombic,0.20937347730789502,2.1146529455208483,9.206582283333333,4.47175708,10,✓ Noncentro (mm2) — χ⁽²⁾ allowed | ✓ Gap 3.67 eV — transparent at 775nm | ✓ n=2.11 — ideal waveguide confinement | △ Piezo=0.21 C/m² — moderate
mp-690977,NaP3(PbO3)4,3.2891,0.0,-2.3734747190153938,6.108420081882833,6,P6_3,Hexagonal,0.23225178056936002,1.958859738895735,25.969700659993862,3.837131476666667,10,✓ Noncentro (6) — χ⁽²⁾ allowed | ✓ Gap 3.29 eV — transparent at 775nm | ✓ n=1.96 — ideal waveguide confinement | △ Piezo=0.23 C/m² — moderate
mp-541220,NaMg4V3O12,3.3215999999999997,0.0,-2.7118239195689653,3.2566484728063134,-42m,I-42d,Tetragonal,0.18537999999999902,1.911910588041885,9.47473915,3.6554020966666663,10,✓ Noncentro (-42m) — χ⁽²⁾ allowed | ✓ Gap 3.32 eV — transparent at 775nm | ✓ n=1.91 — ideal waveguide confinement | △ Piezo=0.19 C/m² — moderate
mp-15349,Li2GeO3,3.568,0.0,-2.3221209661111097,3.54850576957513,mm2,Cmc2_1,Orthorhombic,1.039842812207691,1.789470167395925,11.808834276666666,3.2022034799999997,10,✓ Noncentro (mm2) — χ⁽²⁾ allowed | ✓ Gap 3.57 eV — transparent at 775nm | △ n=1.79 — weak confinement | ✓ Piezo=1.04 C/m² — strong χ⁽²⁾ proxy
mp-19926,La2Be2GeO7,4.130699999999999,0.0,-3.2724024612500013,5.460089752892118,-42m,P-42_1m,Tetragonal,0.24083999999999903,1.9750175729176012,14.059723239999997,3.900694413333332,10,✓ Noncentro (-42m) — χ⁽²⁾ allowed | ✓ Gap 4.13 eV — transparent at 775nm | ✓ n=1.98 — ideal waveguide confinement | △ Piezo=0.24 C/m² — moderate
mp-9212,NaAlO2,3.7981000000000003,0.0,-2.9291718322198275,2.7858959861563095,mm2,Pna2_1,Orthorhombic,1.198037233352953,1.620655925852246,5.913419640000001,2.62652563,10,✓ Noncentro (mm2) — χ⁽²⁾ allowed | ✓ Gap 3.80 eV — transparent at 775nm | △ n=1.62 — weak confinement | ✓ Piezo=1.20 C/m² — strong χ⁽²⁾ proxy
mp-557070,Ca2BiAsO6,3.2463,0.0,-2.5403907127500007,4.976389708090029,mm2,Cmc2_1,Orthorhombic,0.544607385177102,1.9391034380180232,12.713663786666608,3.760122143333317,10,✓ Noncentro (mm2) — χ⁽²⁾ allowed | ✓ Gap 3.25 eV — transparent at 775nm | ✓ n=1.94 — ideal waveguide confinement | △ Piezo=0.54 C/m² — moderate
mp-546007,La2MoO6,3.5993,0.060170133888890476,-3.1175757599999994,5.132616416629655,-42m,I-42m,Tetragonal,1.02136,2.034158001073991,15.965209953333337,4.1377987733333335,10,✓ Noncentro (-42m) — χ⁽²⁾ allowed | ✓ Gap 3.60 eV — transparent at 775nm | ✓ n=2.03 — ideal waveguide confinement | ✓ Piezo=1.02 C/m² — strong χ⁽²⁾ proxy
mp-1048318,Ca2FeWO6,3.2617999999999996,0.022344671500000857,-2.6501649574999995,5.473992044920185,1,R3,Trigonal,2.506841256279663,2.1368373044732025,20.613595157347877,4.566073665788303,10,✓ Noncentro (1) — χ⁽²⁾ allowed | ✓ Gap 3.26 eV — transparent at 775nm | ✓ n=2.14 — ideal waveguide confinement | ✓ Piezo=2.51 C/m² — strong χ⁽²⁾ proxy
mp-16996,Li3GaSiO5,3.6429,0.0,-2.6883009789999996,3.144400942524832,mm2,Pna2_1,Orthorhombic,1.022052135265124,1.7021237675327843,6.603064793333334,2.89722532,10,✓ Noncentro (mm2) — χ⁽²⁾ allowed | ✓ Gap 3.64 eV — transparent at 775nm | △ n=1.70 — weak confinement | ✓ Piezo=1.02 C/m² — strong χ⁽²⁾ proxy
mp-1214020,Ca4YB3O10,4.4498,0.0,-3.3830468215277767,3.1983519305085655,m,Cm,Monoclinic,1.038187515135226,1.7836721942853364,11.396359543333332,3.181486496666667,10,✓ Noncentro (m) — χ⁽²⁾ allowed | ✓ Gap 4.45 eV — transparent at 775nm | △ n=1.78 — weak confinement | ✓ Piezo=1.04 C/m² — strong χ⁽²⁾ proxy
mp-9197,Li3AsO4,4.1268,0.0,-2.2690334671875,3.212282625769304,mm2,Pmn2_1,Orthorhombic,1.136009712502494,1.668201559564471,5.753768539999999,2.782896443333333,10,✓ Noncentro (mm2) — χ⁽²⁾ allowed | ✓ Gap 4.13 eV — transparent at 775nm | △ n=1.67 — weak confinement | ✓ Piezo=1.14 C/m² — strong χ⁽²⁾ proxy
mp-29703,BaSi7N10,3.9124,0.0,-1.3420455675000023,3.6849124980115207,m,Pc,Monoclinic,0.422080669373572,2.085003243802433,12.611784956666668,4.347238526666667,10,✓ Noncentro (m) — χ⁽²⁾ allowed | ✓ Gap 3.91 eV — transparent at 775nm | ✓ n=2.09 — ideal waveguide confinement | △ Piezo=0.42 C/m² — moderate
mp-1539101,TeSeO4,3.3937000000000004,2.8319166666790352e-05,-1.3484824181684019,4.81983367356331,mm2,Ima2,Orthorhombic,1.750741725386995,2.1782060217717887,42.66276252170838,4.7445814732828815,10,✓ Noncentro (mm2) — χ⁽²⁾ allowed | ✓ Gap 3.39 eV — transparent at 775nm | ✓ n=2.18 — ideal waveguide confinement | ✓ Piezo=1.75 C/m² — strong χ⁽²⁾ proxy
mp-6137,Mg4P6SN12,4.831800000000001,0.0,-1.0484742563198755,2.7624356618344192,-43m,I-43m,Cubic,0.2499,1.9751184521440739,7.753998356666667,3.901092900000002,10,✓ Noncentro (-43m) — χ⁽²⁾ allowed | ✓ Gap 4.83 eV — transparent at 775nm | ✓ n=1.98 — ideal waveguide confinement | △ Piezo=0.25 C/m² — moderate
mp-777422,DyHO2,4.728,0.00793065531249848,-2.9752240794791653,7.051926211333882,mm2,Pmn2_1,Orthorhombic,1.124530517949602,1.9103274684374576,13.792061679999998,3.649351036666666,10,✓ Noncentro (mm2) — χ⁽²⁾ allowed | ✓ Gap 4.73 eV — transparent at 775nm | ✓ n=1.91 — ideal waveguide confinement | ✓ Piezo=1.12 C/m² — strong χ⁽²⁾ proxy
mp-555321,BaNiF4,4.1693,0.0,-3.3830551158333377,5.170532523273397,mm2,Cmc2_1,Orthorhombic,1.69027,1.5807214386686437,24.571840266666666,2.4986802666666663,10,✓ Noncentro (mm2) — χ⁽²⁾ allowed | ✓ Gap 4.17 eV — transparent at 775nm | △ n=1.58 — weak confinement | ✓ Piezo=1.69 C/m² — strong χ⁽²⁾ proxy
mp-1540000,BaGaH5,3.6254,0.0,-0.3637303412500036,3.5372264943850054,mm2,Pmn2_1,Orthorhombic,0.24418246357738402,1.983309720698206,9.773950379816709,3.933517448215996,10,✓ Noncentro (mm2) — χ⁽²⁾ allowed | ✓ Gap 3.63 eV — transparent at 775nm | ✓ n=1.98 — ideal waveguide confinement | △ Piezo=0.24 C/m² — moderate
mp-559053,NaY(SeO3)2,4.1636,0.0,-2.1790304758566803,4.156206558652358,mm2,Pna2_1,Orthorhombic,0.6062476211087341,1.8308373029846208,10.882530530000002,3.35196523,10,✓ Noncentro (mm2) — χ⁽²⁾ allowed | ✓ Gap 4.16 eV — transparent at 775nm | ✓ n=1.83 — ideal waveguide confinement | △ Piezo=0.61 C/m² — moderate
mp-18938,Tl2MoO4,3.4577999999999998,0.0,-1.659020907380954,6.946961251525342,2,C2,Monoclinic,0.594203492636838,2.029725237562957,21.306673606666674,4.119784540000001,10,✓ Noncentro (2) — χ⁽²⁾ allowed | ✓ Gap 3.46 eV — transparent at 775nm | ✓ n=2.03 — ideal waveguide confinement | △ Piezo=0.59 C/m² — moderate
mp-18168,TlZnPO4,3.7589,0.0,-2.2251071018537405,5.766462241917605,2,P2_1,Monoclinic,0.42637775047485704,1.8258525752827546,13.902253649999999,3.3337376266666667,10,✓ Noncentro (2) — χ⁽²⁾ allowed | ✓ Gap 3.76 eV — transparent at 775nm | ✓ n=1.83 — ideal waveguide confinement | △ Piezo=0.43 C/m² — moderate
mp-14708,Tm2Ge2O7,3.7188000000000003,0.0,-3.0852458706818195,7.123839375855494,422,P4_12_12,Tetragonal,0.10523999999999901,1.9291723130226945,11.65428028,3.7217058133333336,10,✓ Noncentro (422) — χ⁽²⁾ allowed | ✓ Gap 3.72 eV — transparent at 775nm | ✓ n=1.93 — ideal waveguide confinement | △ Piezo=0.11 C/m² — moderate
mp-19219,Li3VO4,4.0337,0.0,-2.502745246250001,2.6975068595904634,mm2,Pmn2_1,Orthorhombic,1.458806307156642,1.7817356528583768,6.679845693333334,3.1745819366666663,10,✓ Noncentro (mm2) — χ⁽²⁾ allowed | ✓ Gap 4.03 eV — transparent at 775nm | △ n=1.78 — weak confinement | ✓ Piezo=1.46 C/m² — strong χ⁽²⁾ proxy
mp-1182061,BaNaH6Ir,3.2230999999999996,0.0,-0.5090041409865896,4.932893506270278,-43m,F-43m,Cubic,0.67051,1.9164374578889865,10.287398099999999,3.6727325300000007,10,✓ Noncentro (-43m) — χ⁽²⁾ allowed | ✓ Gap 3.22 eV — transparent at 775nm | ✓ n=1.92 — ideal waveguide confinement | △ Piezo=0.67 C/m² — moderate
mp-16136,Sr3TaGa3(SiO7)2,3.8537999999999997,0.0,-3.0989884499927536,4.929140137619779,32,P321,Trigonal,0.5358307899219921,1.84959531249406,14.890758876676912,3.4210028199999996,10,✓ Noncentro (32) — χ⁽²⁾ allowed | ✓ Gap 3.85 eV — transparent at 775nm | ✓ n=1.85 — ideal waveguide confinement | △ Piezo=0.54 C/m² — moderate
